,TARGET
0,1.0
131073,1.0
131074,0.0
5,0.0
262149,0.0
262162,1.0
262163,0.0
131092,1.0
262165,1.0
25,0.0
131098,1.0
26,1.0
131103,1.0
262177,0.0
131105,0.0
262179,0.0
262180,1.0
37,0.0
38,0.0
131111,1.0
40,1.0
42,1.0
262190,1.0
262195,0.0
131124,1.0
131123,1.0
262198,1.0
131132,1.0
131136,1.0
68,0.0
262214,1.0
262215,1.0
262216,0.0
262218,0.0
76,0.0
84,0.0
131157,0.0
262232,1.0
262236,0.0
131169,1.0
262246,0.0
102,0.0
131180,0.0
116,0.0
120,0.0
262264,1.0
131194,1.0
131204,1.0
262281,0.0
138,1.0
131217,1.0
148,0.0
262294,0.0
131225,0.0
131228,0.0
262302,0.0
131233,0.0
262307,0.0
163,1.0
131237,1.0
131239,0.0
131242,0.0
262321,0.0
179,0.0
180,1.0
131254,1.0
189,0.0
262339,0.0
262341,0.0
262346,0.0
131274,1.0
131275,1.0
262353,0.0
262354,0.0
211,1.0
262356,0.0
131288,0.0
219,0.0
131293,0.0
223,0.0
262379,0.0
241,0.0
242,1.0
246,1.0
262392,0.0
262395,0.0
255,1.0
131328,0.0
131329,1.0
258,0.0
260,1.0
261,1.0
131340,0.0
131344,0.0
281,0.0
131355,0.0
262429,1.0
131358,0.0
262433,0.0
262438,1.0
131369,0.0
131371,1.0
300,0.0
307,0.0
131379,1.0
262451,1.0
262456,0.0
131385,0.0
262457,0.0
262458,1.0
322,0.0
262468,0.0
131398,1.0
131399,0.0
333,0.0
262477,1.0
340,0.0
344,1.0
131416,1.0
131417,1.0
348,1.0
131420,1.0
262498,0.0
131429,1.0
359,0.0
364,0.0
368,1.0
262514,1.0
262515,1.0
131444,0.0
131447,0.0
131450,1.0
262524,1.0
381,1.0
262528,0.0
262532,0.0
389,1.0
131462,0.0
262535,1.0
131466,0.0
131467,1.0
131473,0.0
131476,1.0
131478,1.0
262550,1.0
131484,0.0
413,1.0
262561,1.0
419,1.0
131493,0.0
424,1.0
262569,0.0
131498,0.0
262571,0.0
262570,0.0
262574,1.0
262578,0.0
131508,0.0
131511,0.0
262583,1.0
262585,0.0
444,0.0
131520,0.0
450,0.0
455,0.0
